website,registrar,dnssec,ssl,phishing,price,updated_date_diff,expiration_date_diff,len_name_servers,emails_verify,result
businessone.cc,NAMECHEAP INC,0,1,1,0.3,-311,31,4,0,0
buyivermectinn.uk,PDR Ltd. d/b/a PublicDomainRegistry.com [Tag = PDR-IN],0,1,1,0.3,-100,273,,0,0
buylandplot.com,"Hostinger, UAB",0,1,0,0.3,-133,225,4,0,0
buylegitpassports.com,"GoDaddy.com, LLC",0,1,0,0.3,-91,222,2,0,0
buymozz.com,"GoDaddy.com, LLC",0,0,0,0.3,-125,112,2,0,0
buytadalafiltb.com,IONOS SE,0,0,0,0.3,-124,237,2,0,0
buywnew.com,,0,0,0,0.3,,,,0,0
buzzketing.com.au,Web Address Registration Pty Ltd,0,1,1,0.3,-142,,2,0,0
bwsp.org,"Dynadot, LLC",0,1,0,0.3,-252,-1,2,0,0
bytecore.in,"GoDaddy.com, LLC",0,1,1,0.3,-332,554,2,0,0
c2pfashions.com,PDR Ltd. d/b/a PublicDomainRegistry.com,0,1,0,0.3,-78,285,4,0,0
call1stchoiceappliance.com,"GoDaddy.com, LLC",0,1,0,0.3,-170,153,2,0,0
callindelhi.com,BigRock Solutions Ltd.,0,1,0,0.3,-204,95,4,0,0
camdenatticcrawlspace.xyz,PDR Ltd. d/b/a PublicDomainRegistry.com,0,1,0,0.3,-177,146,4,0,0
canadianpharmaciespreshd.com,"Arsys Internet, S.L. dba NICLINE.COM",0,1,0,0.3,-259,46,2,0,0
candylollipopneovita.com,"GoDaddy.com, LLC",0,1,0,0.3,-153,103,2,0,0
capitaladda.com,"GoDaddy.com, LLC",0,1,0,0.3,-150,94,2,0,0
capitalinsight.in,Hosting Concepts B.V. d/b/a Openprovider,0,1,1,0.3,-152,573,2,0,0
capitalmedia.co.in,Endurance Digital Domain Technology LLP,0,1,0,0.3,-81,184,2,0,0
capmbavishi.com,"OwnRegistrar, Inc.",0,1,0,0.3,-69,293,2,0,0
cargodeliveyexpress.com,"NameSilo, LLC",0,1,0,0.3,-133,232,4,0,0
carpetcleaning1.net,"GoDaddy.com, LLC",0,0,0,0.3,-170,149,2,0,0
bloomhot.com,DREAMHOST,0,1,0,0.3,-220,133,2,0,0
blueandwhite.in,"GoDaddy.com, LLC",0,0,1,0.3,-208,412,2,0,0
bluelionrugcleaning.net,"GoDaddy.com, LLC",0,1,0,0.3,-166,137,2,0,0
bluholidays.in,"GoDaddy.com, LLC",0,1,1,0.3,-398,327,2,0,0
blutours.in,"GoDaddy.com, LLC",0,1,1,0.3,-398,327,2,0,0
bluvoyages.com,"GoDaddy.com, LLC",0,1,0,0.3,-136,327,2,0,0
bombaybiryani.in,"GoDaddy.com, LLC",0,1,1,0.3,-139,219,2,0,0
bonishehjaar.com,"OwnRegistrar, Inc.",0,1,0,0.3,-177,186,4,0,0
bowtales.in,Own Web Solution Pvt. Ltd.,0,1,1,0.3,-147,213,2,0,0
boywhocode.xyz,"OwnRegistrar, Inc.",0,1,0,0.3,-276,74,2,0,0
bpnic.co.in,"GoDaddy.com, LLC",0,1,0,0.3,-257,103,2,0,0
